<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VOW3-TDG;D;03.03.2020;0:00:00;152.0000000;156.4200000;150.7000000;152.5800000;1978749
VOW3-TDG;D;04.03.2020;0:00:00;153.5400000;156.0000000;152.6400000;154.6200000;1194127
VOW3-TDG;D;05.03.2020;0:00:00;155.1000000;155.4600000;148.7400000;150.4800000;1084202
VOW3-TDG;D;06.03.2020;0:00:00;146.0000000;148.6600000;143.7200000;147.3800000;1436380
VOW3-TDG;D;09.03.2020;0:00:00;139.1000000;139.5600000;131.3000000;131.7200000;2385124
VOW3-TDG;D;10.03.2020;0:00:00;133.6800000;141.5000000;131.4400000;131.8000000;2441791
VOW3-TDG;D;11.03.2020;0:00:00;133.7800000;137.2200000;131.7400000;132.0400000;1627076
VOW3-TDG;D;07.04.2020;0:00:00;116.8400000;117.0400000;114.0800000;116.3800000;529595
VOW3-TDG;D;09.04.2020;0:00:00;120.2000000;126.3000000;119.9800000;122.5400000;2088316
VOW3-TDG;D;14.04.2020;0:00:00;127.3800000;127.9000000;123.1400000;123.1400000;1390092
VOW3-TDG;D;15.04.2020;0:00:00;123.6400000;124.4200000;115.4800000;116.2000000;1562089
